alpha,CL,CD,Cm,Max_Camber,Camber_Pos,Thickness,Re,Airfoil_Name,CL_max,alpha_stall
-10.0,-0.6954,0.10983,0.0105,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-9.8,-0.6893,0.10604,0.0109,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-9.6,-0.6763,0.10358,0.0126,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-9.4,-0.7017,0.09883,0.0057,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-9.2,-0.6064,0.0934,0.0012,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-9.0,-0.5931,0.0907,0.0027,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-8.8,-0.6368,0.08466,-0.005,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-8.6,-0.6944,0.08526,0.0036,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-8.4,-0.7189,0.07993,-0.0029,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-8.2,-0.8061,0.04913,-0.0168,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-8.0,-0.803,0.0447,-0.0157,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-7.8,-0.7967,0.04076,-0.0143,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-7.6,-0.7847,0.03825,-0.0133,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-7.4,-0.7718,0.03578,-0.0121,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-7.2,-0.7575,0.03331,-0.011,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-7.0,-0.7416,0.03115,-0.0098,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-6.8,-0.7249,0.02922,-0.0088,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-6.6,-0.7063,0.02761,-0.0083,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-6.4,-0.6871,0.02614,-0.0075,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-6.2,-0.6681,0.02465,-0.0068,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-6.0,-0.6487,0.02348,-0.0061,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-5.8,-0.6296,0.02224,-0.0055,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-5.6,-0.6106,0.02111,-0.0047,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-5.4,-0.5923,0.02008,-0.0039,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-5.2,-0.5746,0.01909,-0.0031,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-5.0,-0.5576,0.01809,-0.0021,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-4.8,-0.5416,0.01705,-0.001,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-4.6,-0.5269,0.01592,0.0002,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-4.4,-0.5132,0.01488,0.0016,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-4.2,-0.4988,0.01414,0.0031,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-4.0,-0.4836,0.01362,0.0047,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-3.8,-0.468,0.01322,0.0063,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-3.6,-0.4519,0.0129,0.008,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-3.4,-0.4358,0.01265,0.0099,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-3.2,-0.4195,0.01247,0.0119,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-3.0,-0.4029,0.01237,0.014,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-2.8,-0.3858,0.01234,0.0161,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-2.6,-0.367,0.0124,0.018,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-2.4,-0.3443,0.01254,0.0191,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-2.2,-0.3145,0.01274,0.0187,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-2.0,-0.2714,0.013,0.0155,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-1.8,-0.2194,0.0132,0.0102,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-1.6,-0.1586,0.01327,0.0026,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-1.4,-0.103,0.01317,-0.0042,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-1.2,-0.0471,0.01294,-0.0114,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-1.0,-0.0344,0.01267,-0.0107,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-0.8,-0.0249,0.01245,-0.0092,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-0.6,-0.0169,0.01228,-0.0074,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-0.4,-0.0105,0.01217,-0.0051,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-0.2,-0.005,0.0121,-0.0026,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
0.0,0.0,0.01207,-0.0,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
0.2,0.005,0.0121,0.0026,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
0.4,0.0105,0.01217,0.0051,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
